     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   TRL  9.8410e-01  9.8002e-01  9.8843e-01  9.9452e-01  9.9254e-01  9.7797e-01  9.9771e-01  9.7418e-01  9.8623e-01  9.9744e-01  9.7876e-01  9.8955e-01  9.8387e-01  9.8364e-01  9.8133e-01  9.7224e-01
   TRA  9.7834e-01  9.8925e-01  9.8941e-01  9.9808e-01  9.9205e-01  9.8272e-01  1.0037e+00  9.7479e-01  9.8535e-01  9.9729e-01  9.7785e-01  9.8812e-01  9.8006e-01  9.8399e-01  9.8045e-01  9.7212e-01
   TRS  9.8794e-01  9.7672e-01  9.8883e-01  9.8956e-01  9.9195e-01  9.8455e-01  9.9712e-01  9.7473e-01  9.7341e-01  9.9712e-01  9.8156e-01  9.8906e-01  9.8403e-01  9.8099e-01  9.8133e-01  9.7483e-01
   OTS  9.9291e-01  9.8986e-01  9.8959e-01  9.8798e-01  9.9336e-01  9.7408e-01  9.8530e-01  9.7885e-01  9.7460e-01  9.9168e-01  9.8705e-01  9.9222e-01  9.9333e-01  9.8798e-01  9.8773e-01  9.7465e-01
   GOV  9.9487e-01  9.8019e-01  9.9282e-01  9.9395e-01  9.9444e-01  9.6906e-01  9.7125e-01  9.6554e-01  9.6638e-01  9.9656e-01  9.8260e-01  9.9183e-01  9.9339e-01  9.8678e-01  9.7298e-01  9.8566e-01
   INV  9.9177e-01  9.8818e-01  9.8966e-01  9.8828e-01  9.9262e-01  9.7727e-01  9.8643e-01  9.7989e-01  9.7816e-01  9.9154e-01  9.8755e-01  9.9141e-01  9.9163e-01  9.8806e-01  9.8714e-01  9.7912e-01
 AGF_I  9.9433e-01  1.0003e+00  1.0003e+00  9.9408e-01  9.9669e-01  9.9641e-01  9.9588e-01  9.9339e-01  9.9361e-01  9.9662e-01  9.9766e-01  9.9567e-01  9.9729e-01  9.9488e-01  9.9208e-01  9.9565e-01
 OIL_I  1.0009e+00  0.0000e+00  1.0001e+00  1.0040e+00  1.0033e+00  1.0032e+00  1.0036e+00  1.0031e+00  1.0032e+00  1.0035e+00  1.0001e+00  1.0003e+00  9.9858e-01  1.0022e+00  1.0034e+00  9.9831e-01
 GAS_I  9.9514e-01  9.9101e-01  9.9114e-01  9.9502e-01  9.9849e-01  9.9868e-01  9.9715e-01  0.0000e+00  0.0000e+00  9.9515e-01  9.9494e-01  9.9607e-01  9.9225e-01  9.9622e-01  9.9322e-01  9.9212e-01
 COL_I  9.9845e-01  9.9828e-01  9.9633e-01  1.0003e+00  1.0008e+00  1.0017e+00  1.0018e+00  9.9971e-01  1.0010e+00  9.9675e-01  9.9901e-01  9.9671e-01  9.9788e-01  9.9654e-01  9.9718e-01  9.9866e-01
