     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   MEX  5.6181e+01  2.9857e+02  2.5463e+00  4.9250e-01  3.8298e+00  9.1966e+00  2.5558e+00  5.5419e-01  2.3121e-01  1.7982e+00  3.4538e+00  1.4124e+01  1.2720e+00  1.5728e+00  7.1667e-01  4.5868e-01
   CAN  1.5289e+02  4.4925e+00  3.3961e+02  2.0225e+00  8.0536e+00  1.6008e+01  4.2569e+00  1.3498e+00  7.6067e-01  1.6773e+00  4.9069e+00  3.2250e+01  3.3001e+00  4.9343e+00  2.0422e+00  1.6862e+00
   OCN  1.8794e+01  8.7340e-01  1.8983e+00  2.9228e+02  1.9587e+01  2.2254e+01  8.8047e+00  8.8988e+00  9.8110e-01  8.3262e-01  1.6070e+00  2.6487e+01  2.2349e+00  6.2421e+00  2.3322e+00  1.2558e+00
   JAP  4.8643e+01  2.8994e+00  3.7489e+00  6.4959e+00  1.0120e+03  6.0981e+01  1.6312e+01  2.5340e+00  1.2692e+00  2.3331e+00  3.7482e+00  4.1316e+01  4.0300e+00  1.5422e+01  3.2006e+00  3.0344e+00
   EAA  6.2445e+02  3.5643e+01  5.3652e+01  6.5767e+01  3.7135e+02  4.7592e+03  2.0113e+02  3.9793e+01  1.9292e+01  2.9993e+01  5.8926e+01  6.0718e+02  6.4446e+01  1.5549e+02  4.7762e+01  5.3568e+01
   SEA  8.4566e+01  5.0869e+00  7.1927e+00  2.7124e+01  5.6378e+01  9.9199e+01  5.8169e+02  9.4596e+00  7.2916e+00  3.4297e+00  7.3314e+00  1.1544e+02  1.2869e+01  2.7587e+01  8.1203e+00  7.7206e+00
   IND  4.4776e+01  2.0790e+00  3.7667e+00  8.0973e+00  1.2530e+01  3.0727e+01  1.9484e+01  1.0898e+03  1.3945e+01  3.3668e+00  4.3914e+00  7.0148e+01  6.3019e+00  4.6783e+01  1.9154e+01  4.9798e+00
   SOA  4.4493e+00  1.7270e-01  4.0135e-01  5.6504e-01  1.5387e+00  3.8450e+00  2.0785e+00  2.4054e+00  1.2054e+02  2.5618e-01  3.4943e-01  7.6768e+00  6.7154e-01  3.2929e+00  5.5662e-01  5.5813e-01
   BRA  3.3613e+01  2.7657e+00  2.0802e+00  1.0440e+00  4.9437e+00  1.0434e+01  3.0665e+00  1.1159e+00  4.6703e-01  2.5526e+02  1.4008e+01  2.6776e+01  3.1096e+00  6.3172e+00  4.4275e+00  2.0747e+00
   LAM  1.2942e+02  1.0186e+01  8.4610e+00  2.9736e+00  1.1867e+01  2.3479e+01  5.8810e+00  2.0596e+00  9.9618e-01  1.8838e+01  5.1002e+02  6.5919e+01  6.1733e+00  8.8063e+00  4.3232e+00  5.0686e+00
   WEU  2.1948e+02  1.1126e+01  1.8833e+01  1.6359e+01  4.5920e+01  8.7584e+01  3.2608e+01  1.3746e+01  6.8697e+00  1.3923e+01  2.3745e+01  2.8621e+03  9.1840e+01  8.2041e+01  3.7623e+01  3.0655e+01
   REU  5.4087e+01  2.8315e+00  5.3174e+00  4.7951e+00  1.3618e+01  3.0071e+01  1.2089e+01  4.4868e+00  2.0911e+00  4.6605e+00  7.1346e+00  2.6193e+02  8.7598e+02  3.5842e+01  7.8504e+00  3.6758e+01
   MNA  1.3931e+02  7.1013e+00  1.0051e+01  1.4169e+01  1.1040e+02  1.3742e+02  4.3017e+01  4.2098e+01  3.2922e+01  1.3726e+01  1.2789e+01  2.7677e+02  3.0029e+01  1.3650e+03  3.2478e+01  2.3929e+01
