     0         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   TRA  6.1791e+02  8.2241e-01  3.7601e+01  6.0756e+01  2.5986e+01  1.0844e+02  7.5556e+01  8.4850e+00  4.8958e+00  1.7093e+01  3.0709e+01  2.2591e+02  3.6296e+01  3.5753e+01  2.6572e+01  5.2073e+01
   TRS  6.6452e+01  2.5098e+00  1.2461e+01  7.5335e+00  4.6557e+01  3.0200e+02  7.4286e+01  3.4987e+01  5.3426e+00  1.5149e+01  1.8598e+01  2.2076e+02  2.9822e+01  6.5099e+01  1.2080e+01  2.6887e+01
   OTS  2.7770e+03  3.5271e+01  2.2462e+02  2.1675e+02  7.0309e+02  2.6757e+03  3.3534e+02  2.9772e+02  5.6286e+01  1.0723e+02  1.9617e+02  2.0298e+03  4.7108e+02  4.4501e+02  2.0858e+02  5.2618e+02
   GOV  9.9194e+02  1.1600e+01  8.1154e+01  3.9557e+01  2.5491e+02  5.0346e+02  6.6155e+01  2.6222e+01  1.2082e+01  2.0167e+01  4.1511e+01  4.6553e+02  1.0210e+02  1.2454e+02  4.6342e+01  1.7942e+02
   INV  1.0174e+03  8.8474e+01  8.5765e+01  8.3607e+01  3.2736e+02  1.2891e+03  1.4427e+02  1.9993e+02  2.6990e+01  4.6977e+01  9.2654e+01  7.5463e+02  1.5995e+02  2.3509e+02  8.0058e+01  1.7997e+02
 AGF_I  2.1069e+01  5.4163e+00  5.5992e+00  1.5882e+00  2.4660e+01  3.1726e+01  1.1534e+01  1.8673e+00  3.7464e+00  1.3359e+00  6.8467e+00  8.6899e+01  1.2975e+01  2.0212e+01  4.6633e+00  9.4560e+00
 OIL_I  7.6126e+01  0.0000e+00  3.0339e+00  2.4629e+00  2.4646e+01  3.6367e+01  1.4544e+01  1.2772e+01  1.4512e+00  2.3407e+00  6.5422e+00  8.0506e+01  2.5530e+01  4.9600e+00  3.1957e+00  7.2073e-01
 GAS_I  2.9297e+01  1.3582e+00  7.4821e-01  3.0401e-02  1.2651e+01  6.1143e+00  2.9832e+00  0.0000e+00  0.0000e+00  2.0110e+00  2.6584e+00  4.1781e+01  1.8472e+01  5.2143e+00  1.3196e-02  3.6856e+00
 COL_I  8.8449e-01  1.3854e-01  5.2615e-01  2.7411e-02  1.1135e+01  1.1107e+01  1.1987e+00  1.5256e+00  3.4631e-01  1.0019e+00  3.8901e-01  1.4119e+01  3.8058e+00  3.2973e+00  1.2294e-01  2.1748e+00
 PTL_I  3.9526e+02  5.0766e+01  4.2621e+01  4.2761e+01  1.7578e+02  2.5934e+02  1.9572e+02  2.8796e+01  4.0250e+01  3.7471e+01  1.0584e+02  6.7604e+02  1.2917e+02  1.3747e+02  8.7928e+01  1.9580e+01
 MAN_I  9.2409e+02  9.0089e+01  1.4375e+02  8.4049e+01  3.0436e+02  6.3275e+02  3.0164e+02  4.2763e+01  2.8501e+01  2.6141e+01  9.5096e+01  1.3891e+03  2.3311e+02  2.4051e+02  8.8218e+01  8.2997e+01
 CHM_I  2.1525e+02  3.9743e+01  4.8958e+01  2.8814e+01  7.4813e+01  3.0629e+02  1.1610e+02  2.5366e+01  1.5950e+01  2.4276e+01  4.7329e+01  5.1002e+02  9.7926e+01  8.9884e+01  3.5228e+01  2.7587e+01
 CEM_I  4.2364e+01  3.9535e+00  7.2908e+00  5.9596e+00  1.5213e+01  2.5787e+01  1.4993e+01  2.0170e+00  3.2468e+00  1.2384e+00  5.0967e+00  6.4351e+01  1.6142e+01  1.8379e+01  7.4469e+00  6.8830e+00
 STL_I  5.9342e+01  7.9407e+00  1.2362e+01  6.3175e+00  1.8412e+01  1.1615e+02  5.1111e+01  9.3001e+00  4.2431e+00  1.3818e+00  1.1485e+01  1.6130e+02  3.8330e+01  6.9806e+01  1.1189e+01  1.3993e+01
 NFM_I  5.3835e+01  5.2999e+00  1.1727e+01  7.7513e+00  3.7513e+01  9.2928e+01  3.3783e+01  2.7349e+01  2.6122e+00  2.4126e+00  3.5104e+00  1.4737e+02  1.7455e+01  3.5726e+01  6.2529e+00  4.7762e+00
 ELC_I  9.3467e+00  0.0000e+00  9.6416e+00  2.1277e-01  0.0000e+00  4.9722e+00  1.4580e+00  6.6161e-01  1.3724e-01  1.3881e+01  4.1322e+00  7.2376e+01  3.3219e+01  3.2324e+00  1.0111e+01  1.5921e+01
 TRL_I  7.2666e+01  2.7800e+00  6.9683e+00  7.0682e+00  1.8697e+01  3.2994e+01  1.5173e+01  1.8738e+00  1.0528e+00  1.5249e+00  7.2458e+00  1.6135e+02  1.8524e+01  1.4974e+01  5.0448e+00  1.2531e+01
 TRA_I  5.0510e+01  4.7159e+00  1.0399e+01  1.0145e+01  2.9293e+01  2.4374e+01  1.0671e+01  9.0201e-01  5.7462e+00  3.2652e+00  1.0391e+01  1.3582e+02  1.1618e+01  1.1866e+01  6.1259e+00  4.5254e+00
 TRS_I  5.6587e+00  2.6124e-01  1.6885e+00  2.5995e+00  1.5352e+01  1.1675e+01  7.2049e+00  4.5860e+00  9.1127e-01  2.3542e+00  3.6219e+00  6.6098e+01  4.0759e+00  5.3178e+00  1.3365e+00  1.4369e+00
 OTS_I  5.9599e+01  4.2841e+00  1.2981e+01  7.2211e+00  3.4974e+01  5.3062e+01  2.3844e+01  5.2552e+00  1.6704e+00  4.1588e+00  8.3873e+00  2.1347e+02  2.6736e+01  1.6982e+01  7.9773e+00  9.8886e+00
 GOV_I  1.1882e+01  6.9291e-01  1.3934e+00  8.7793e-01  3.6402e+00  3.3539e+00  1.5085e+00  2.9919e-01  2.0862e-01  4.5663e-01  1.0810e+00  1.5410e+01  1.8623e+00  6.1043e+00  9.8893e-01  1.1345e+00
 INV_H  4.9124e+01
 TRL_H  1.7772e+02
 TRA_H  1.0063e+02
 TRS_H  3.8175e+02

     2         USA         MEX         CAN         OCN         JAP         EAA         SEA         IND         SOA         BRA         LAM         WEU         REU         MNA         AFR         RUS
   LND  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   LAB  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   CAP  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   NAT  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
   AGF  2.5265e+02  3.1573e+01  3.6314e+01  3.7365e+01  7.4829e+01  6.2616e+02  7.0475e+01  1.8667e+02  2.8975e+01  6.0753e+01  7.2700e+01  2.1393e+02  1.4168e+02  1.3021e+02  5.3784e+01  1.7892e+02
   OIL  4.3354e+01  2.9857e+01  2.1766e+01  5.5803e+00  2.2146e-02  9.4958e+01  1.2167e+01  4.7016e+00  4.5416e-01  1.2484e+01  3.1784e+01  2.0457e+01  4.7903e+00  1.2500e+02  2.0622e+01  1.2879e+02
   GAS  1.0635e+02  2.5184e+01  4.1983e+01  9.4486e+00  1.5505e-01  9.3396e+01  1.8563e+01  6.3319e+00  1.3844e+00  8.2024e+00  2.9366e+01  3.5943e+01  1.4809e+01  5.9176e+01  2.5860e+01  1.1317e+02
   COL  2.5047e+01  1.8358e-03  1.5702e+00  8.5222e+00  7.0821e-03  1.8690e+02  2.6433e+00  3.9106e+00  5.0184e-02  4.4792e-02  1.2428e+00  4.7208e+00  1.6898e+01  7.1591e-01  1.1038e+01  2.4058e+01
